index,val
329,255
330,255
331,255
332,255
333,255
334,255
335,255
336,255
337,255
338,255
339,255
340,255
341,255
342,255
343,255
344,255
345,255
346,255
347,255
348,255
349,255
350,255
351,255
352,255
353,255
354,255
355,255
356,255
357,255
358,255
359,255
360,255
361,255
362,255
363,255
364,255
365,255
366,255
367,255
368,255
369,255
370,255
371,255
372,255
373,255
374,255
375,255
376,255
377,255
378,255
379,255
380,255
381,255
382,255
383,255
384,255
385,255
386,255
387,255
388,255
389,255
390,255
391,255
392,255
393,255
394,255
395,255
396,255
397,255
398,255
399,255
400,255
401,255
402,255
403,255
404,255
405,255
406,255
407,255
408,255
409,255
410,255
411,255
412,255
413,255
414,255
415,255
416,255
417,255
418,255
419,255
420,255
421,255
422,255
423,255
424,255
425,255
426,255
427,255
428,255
429,255
430,255
431,255
432,255
433,255
434,255
435,255
436,255
437,255
438,255
439,255
440,255
441,255
442,255
443,255
444,255
445,255
446,255
447,255
448,255
449,255
450,255
451,255
452,255
453,255
454,255
455,255
456,255
457,255
458,255
459,255
460,255
461,255
462,255
463,255
464,255
465,255
466,255
467,255
468,255
469,255
470,255
471,255
472,255
473,255
474,255
475,255
476,255
477,255
478,255
479,255
480,255
481,255
482,255
483,255
484,255
485,255
486,255
487,255
488,255
489,255
490,255
491,255
492,255
493,255
494,255
495,255
496,255
497,255
498,255
499,255
500,255
501,255
502,255
503,255
504,255
505,255
506,255
507,255
508,255
509,255
510,255
511,255
512,255
513,255
514,255
515,255
516,255
517,255
518,255
519,255
520,255
521,255
522,255
523,255
524,255
525,255
526,255
527,255
528,255
529,255
530,255
531,255
532,255
533,255
534,255
535,255
536,255
537,255
538,255
539,255
540,255
541,255
542,255
543,255
544,255
545,255
546,255
547,255
548,255
549,255
550,255
551,255
552,255
553,255
554,255
555,255
556,255
557,255
558,255
559,255
560,255
561,255
562,255
563,255
564,255
565,255
566,255
567,255
568,255
569,255
570,255
571,255
572,255
573,255
574,255
575,255
576,255
577,255
578,255
579,255
580,255
581,255
582,255
583,255
584,255
585,255
586,255
587,255
588,255
589,255
590,255
591,255
592,255
593,255
594,255
595,255
596,255
597,255
598,255
599,255
600,255
601,255
602,255
603,255
604,255
605,255
606,255
607,255
608,255
609,255
610,255
611,255
612,255
613,255
614,255
615,255
616,255
617,255
618,255
619,255
620,255
621,255
622,255
623,255
624,255
625,255
626,255
627,255
628,255
629,255
630,255
631,255
632,255
633,255
634,255
635,255
636,255
637,255
638,255
639,255
640,255
641,255
642,255
643,255
644,255
645,255
646,255
647,255
648,255
649,255
650,255
651,255
652,255
653,255
654,255
655,255
656,255
657,255
658,255
659,255
660,255
661,255
662,255
663,255
664,255
665,255
666,255
667,255
668,255
669,255
670,255
671,255
672,255
673,255
674,255
675,255
676,255
677,255
678,255
679,255
680,255
681,255
682,255
683,255
684,255
685,255
686,255
687,255
688,255
689,255
690,255
691,255
692,255
693,255
694,255
695,255
696,255
697,255
698,255
699,255
700,255
701,255
702,255
703,255
704,255
705,255
706,255
707,255
708,255
709,255
710,255
711,255
712,255
713,255
714,255
715,255
716,255
717,255
718,255
719,255
720,255
721,255
722,255
723,255
724,255
725,255
726,255
727,255
728,255
729,255
730,255
731,255
732,255
733,255
734,255
735,255
736,255
737,255
738,255
739,255
740,255
741,255
742,255
743,255
744,255
745,255
746,255
747,255
748,255
749,255
750,255
751,255
752,255
753,255
754,255
755,255
756,255
757,255
758,255
759,255
760,255
761,255
762,255
763,255
764,255
765,255
766,255
767,255
768,255
769,255
770,255
771,255
772,255
773,255
774,255
775,255
776,255
777,255
778,255
779,255
780,255
781,255
782,255
783,255
784,255
785,255
786,255
787,255
788,255
789,255
790,255
791,255
792,255
793,255
794,255
795,255
796,255
797,255
798,255
799,255
800,255
801,255
802,255
803,255
804,255
805,255
806,255
807,255
808,255
809,255
810,255
811,255
812,255
813,255
814,255
815,255
816,255
817,255
818,255
819,255
820,255
821,255
822,255
823,255
824,255
825,255
826,255
827,255
828,255
829,255
830,255
831,255
832,255
833,255
834,255
835,255
836,255
837,255
838,255
839,255
840,255
841,255
842,255
843,255
844,255
845,255
846,255
847,255
848,255
849,255
850,255
851,255
852,255
853,255
854,255
855,255
856,255
857,255
858,255
859,255
860,255
861,255
862,255
863,255
864,255
865,255
866,255
867,255
868,255
869,255
870,255
871,255
872,255
873,255
874,255
875,255
876,255
877,255
878,255
879,255
880,255
881,255
882,255
883,255
884,255
885,255
886,255
887,255
888,255
889,255
890,255
891,255
892,255
893,255
894,255
895,255
896,255
897,255
898,255
899,255
900,255
901,255
902,255
903,255
904,255
905,255
906,255
907,255
908,255
909,255
910,255
911,255
912,255
913,255
914,255
915,255
916,255
917,255
918,255
919,255
920,255
921,255
922,255
923,255
924,255
925,255
926,255
927,255
928,255
929,255
930,255
931,255
932,255
933,255
934,255
935,255
936,255
937,255
938,255
939,255
940,255
941,255
942,255
943,255
944,255
945,255
946,255
947,255
948,255
949,255
950,255
951,255
952,255
953,255
954,255
955,255
956,255
957,255
958,255
959,255
960,255
961,255
962,255
963,255
964,255
965,255
966,255
967,255
968,255
969,255
970,255
971,255
972,255
973,255
974,255
975,255
976,255
977,255
978,255
979,255
980,255
981,255
982,255
983,255
984,255
985,255
986,255
987,255
988,255
989,255
990,255
991,255
992,255
993,255
994,255
995,255
996,255
997,255
998,255
999,255
1000,255
1001,255
1002,255
1003,255
1004,255
1005,255
1006,255
1007,255
1008,255
1009,255
1010,255
1011,255
1012,255
1013,255
1014,255
1015,255
1016,255
1017,255
1018,255
1019,255
